Order,Creation Date,Total Value,Client Hash
1475271371897-01,2024-11-09 11:40:37+00:00,468.0,ed94ddc51413a2d6e7c005da8543bbe40692b5cd57915622b54031cd122e1b78
1475541372007-01,2024-11-10 14:53:58+00:00,302.99,05aa8e73474266bb6789759f18c7d070283b8a029faa4e810c047c21f4c4c404
1475541372007-01,2024-11-10 14:53:58+00:00,302.99,05aa8e73474266bb6789759f18c7d070283b8a029faa4e810c047c21f4c4c404
1475261371893-01,2024-11-09 10:58:53+00:00,281.13,3857936d447a4e10251c37fdc905e515445425e01aa1c9dda49f032c8b1094e9
1475261371893-01,2024-11-09 10:58:53+00:00,281.13,3857936d447a4e10251c37fdc905e515445425e01aa1c9dda49f032c8b1094e9
1475531372005-01,2024-11-10 14:18:00+00:00,360.88,3c23626240e6b5c2d66260d2f1ac4af04eb3d68f9cc94fd9d64933a181214816
1475531372005-01,2024-11-10 14:18:00+00:00,360.88,3c23626240e6b5c2d66260d2f1ac4af04eb3d68f9cc94fd9d64933a181214816
1475261371891-01,2024-11-09 10:58:37+00:00,425.0,dafe7cdc96a9cbf984f10a1ab0dbf5a08e85cfd318d0893c4deb0f151deddc5a
1475261371891-01,2024-11-09 10:58:37+00:00,425.0,dafe7cdc96a9cbf984f10a1ab0dbf5a08e85cfd318d0893c4deb0f151deddc5a
1475261371891-01,2024-11-09 10:58:37+00:00,425.0,dafe7cdc96a9cbf984f10a1ab0dbf5a08e85cfd318d0893c4deb0f151deddc5a
1475531372003-01,2024-11-10 14:07:26+00:00,1881.71,ee095910f31f96aefd584e09ee5e49ff717b7a74237cb5cfb1d0a4cf0e06f68b
1475531372003-01,2024-11-10 14:07:26+00:00,1881.71,ee095910f31f96aefd584e09ee5e49ff717b7a74237cb5cfb1d0a4cf0e06f68b
1475531372003-01,2024-11-10 14:07:26+00:00,1881.71,ee095910f31f96aefd584e09ee5e49ff717b7a74237cb5cfb1d0a4cf0e06f68b
1475531372003-01,2024-11-10 14:07:26+00:00,1881.71,ee095910f31f96aefd584e09ee5e49ff717b7a74237cb5cfb1d0a4cf0e06f68b
1475531372003-01,2024-11-10 14:07:26+00:00,1881.71,ee095910f31f96aefd584e09ee5e49ff717b7a74237cb5cfb1d0a4cf0e06f68b
1475531372003-01,2024-11-10 14:07:26+00:00,1881.71,ee095910f31f96aefd584e09ee5e49ff717b7a74237cb5cfb1d0a4cf0e06f68b
1475531372003-01,2024-11-10 14:07:26+00:00,1881.71,ee095910f31f96aefd584e09ee5e49ff717b7a74237cb5cfb1d0a4cf0e06f68b
