client_hash,recency,frequency,monetary
01255f21659559deca5e21fc6d10baa149d2be528c753424ded61a3caf5af70b,447,1,160.0
0127cfe670a7d615be96965c040f4fc4b73d022ad17082fc66615ccb30d6ebb2,335,1,230.23
012b61a0d13a6b3b49158186f4275fbfe52f47e5f8ae3eea8881940fa297a925,468,3,1191.34
012b7b8314fa36cadab9e53a15fec4a42b5a9b7464cd99fb392130d7089a70a4,463,1,100.88
012bc5a082e2bdc996405d04ec8704e91bfc5c8153b11e9bc74461b0a465eea7,467,1,152.76
012c10f5112f0075423a39ec8a30d8395dbc363e04a7fea2f9e08de19b008c85,128,2,524.16003
012c94bb7f0efd29653976d303573e116845fd73f2407020545322689c557eb2,23,1,318.5
012c9af87e3939861097bf1e77581f3568194983bab8252c4d7d122e8f530c6b,130,2,526.67
0130c8f8ff46a9a6af4d3142b2186196562d8410676a1b0631caa899d1d013f2,332,1,334.61
01318eef1da460be9aeb70ca6b4d5e4f5537df0f0767cc37f0d4c3bec0133ef3,499,2,397.86
01348c85f61056fe53f2499a4f35f305a514be99d24ce1fd0ad73acda510edd5,380,1,141.15
0134d737a14b3b53e4bd2577dabacdedaae4a360d78ad7d50f1db096dd21f1ad,286,1,268.06
013729fa665dd330ec9f3ad4d6773c5e12fbbaae70352b51d10e5cbd072eaa6b,358,1,142.65
01385a126498b5f09c2f092d108ac975988a4e3f28e7b27f7725288e5134d5a9,68,3,543.13
013bc6299344f9c8fea6ad80502285aa2a9696e39b54d73fb4f8409dc72575c6,576,2,454.21997
013d851d2e992a219fd03b622008718089a359a40ba334f7a71f341a6e328e4a,524,1,116.0
013ecc7f7e9dacda6a2c2a3f2713bbfd369791735abdbabee8a4d2a13781b71b,601,1,141.3
013f25572eec8669370d43b7176aba16ecd5a81ef4981640d2e27874c2982881,324,1,138.78
013ff4ce5e8436c4d30e4179d4c2b8c6e2c94b5ff079613a2ec9ef78016e90a9,510,1,243.43
01452d246f7061fcfa99841e74c901d8c90fef62f6ee016469372f5be9cf4977,202,2,939.97
0145d0d3de4fd72b31d5b38f7e4e82572596ae04f1f6a7dde5f4abee9f77900f,418,2,1149.0
014aa073880aa4c8e64eba78b6cfba11bebc009561e0112663de3fe0bd20d138,500,1,164.77
014ad68bcdb43c456397c9f07f1e8810ba02ecbab95c60284efdfdbe76aef4c3,78,2,498.56
014b5f25ba93541755c8385c7ae7948f75cac93a487d6794c519ef4880e18c56,171,1,169.33
014c89779faa48a726efe3cff58cb393f40593defe8d833d9b3090f0ddb92eb9,354,1,118.85
014e28b48dbd286b39d125657f9e6abd710361c641be6465a93ef1d4b8cb60e7,499,1,153.6
014ea8ab95adb2b69b4f2560218aef93989b265b18a9056e70cc3260165fe184,600,1,247.29
01512cdf57bbfbe38cbfd28ddce929e0d6597f7c06ee2e88e64a96c327dd1c1a,27,2,305.88
01530dec877b7d2aeaac6c4598363ef8bd600addd763669d6bce97062b9272be,249,1,172.97
01536d4a8bf63d3f79b8e8ad3539cd99807dff0ed81178f07f18b8cd747b9c8e,468,1,589.48
0155035da2b1ee227f7befb3b242d23c955e43635c5bdfc3a618ec83c48375b6,383,1,254.16
0156f846fa4a004f57518f531fd8912e55a271518609c6ea185b765b95516e2b,221,1,432.0
0157cf4c9a6fb9b4c4a031a5a428198ece7336be4de1a7cf26bf844fa8054794,1,1,805.88
015812dcf71c1b6c5e9c93e505181f552a713a7043b7838f0944230c483a5d09,403,1,170.14
01592f3a2e0f73548343d1671e90fbeccf69a44a7c45ecfae996622d6bc2fd51,432,1,160.92
015c01e4ffa332a2a036b765ab1f3dd0f3e19cc321ce295b1cdbe667f02391e7,471,1,165.83
015c8ddfdfcda5cb4868e506496191a887b8770503e542c015d71d3943a446c4,580,1,267.42
015d3f632a8a17106c61d28d6da52d1c4f19565bf1a824fdd5bd23178587d9c4,666,1,514.0
